date,industry,opj,gva,jobs
1997 Q1,WE,79.3013,64.5075,81.3448
1997 Q2,WE,79.4981,65.0251,81.7946
1997 Q3,WE,79.7405,65.4281,82.0512
1997 Q4,WE,80.5891,66.1198,82.0456
1998 Q1,WE,80.9671,66.5152,82.1508
1998 Q2,WE,81.5512,67.0765,82.2508
1998 Q3,WE,81.6874,67.5391,82.6799
1998 Q4,WE,82.0939,68.1369,82.9987
1999 Q1,WE,82.3246,68.5626,83.2833
1999 Q2,WE,82.0752,68.678,83.677
1999 Q3,WE,83.2022,69.7799,83.8679
1999 Q4,WE,84.2202,70.759,84.0167
2000 Q1,WE,84.9668,71.5252,84.1801
2000 Q2,WE,85.5243,72.1685,84.3837
2000 Q3,WE,85.8067,72.6417,84.6574
2000 Q4,WE,86.2412,72.9717,84.6135
2001 Q1,WE,86.7886,73.5184,84.7097
2001 Q2,WE,86.663,73.7886,85.1443
2001 Q3,WE,87.0831,74.0362,85.0179
2001 Q4,WE,86.8936,74.0406,85.2083
2002 Q1,WE,87.0752,74.2594,85.2818
2002 Q2,WE,87.1845,74.6845,85.6626
2002 Q3,WE,87.5999,75.1475,85.785
2002 Q4,WE,87.9425,75.8256,86.2218
2003 Q1,WE,88.7188,76.4266,86.1447
2003 Q2,WE,89.0695,77.0116,86.4623
2003 Q3,WE,89.6986,77.6923,86.6148
2003 Q4,WE,90.2201,78.1567,86.6289
2004 Q1,WE,89.9771,78.4042,87.138
2004 Q2,WE,90.6422,78.9246,87.0727
2004 Q3,WE,90.7961,79.1994,87.2277
2004 Q4,WE,90.7675,79.4706,87.554
2005 Q1,WE,91.0721,80.1033,87.9559
2005 Q2,WE,91.8527,80.9066,88.083
2005 Q3,WE,92.2809,81.6334,88.4619
2005 Q4,WE,93.7346,82.5673,88.0862
2006 Q1,WE,93.3982,82.7709,88.6216
2006 Q2,WE,93.4977,83.1093,88.8891
2006 Q3,WE,93.2912,83.2075,89.1911
2006 Q4,WE,93.634,83.5352,89.2147
2007 Q1,WE,94.7547,84.5068,89.1848
2007 Q2,WE,94.7482,84.9947,89.7059
2007 Q3,WE,95.0894,85.5635,89.9822
2007 Q4,WE,95.2735,86.1264,90.3991
2008 Q1,WE,95.5826,86.7222,90.7301
2008 Q2,WE,95.0805,86.467,90.9408
2008 Q3,WE,93.9737,85.0593,90.5139
2008 Q4,WE,91.994,83.0781,90.3081
2009 Q1,WE,90.6311,81.5352,89.9638
2009 Q2,WE,91.1972,81.209,89.0477
2009 Q3,WE,91.4347,81.4358,89.0644
2009 Q4,WE,91.8736,81.7766,89.0099
2010 Q1,WE,93.14,82.5629,88.6438
2010 Q2,WE,93.4861,83.5604,89.3827
2010 Q3,WE,93.52,84.1006,89.9279
2010 Q4,WE,93.9124,84.1884,89.6456
2011 Q1,WE,93.4414,84.2728,90.1879
2011 Q2,WE,93.6005,84.3684,90.1367
2011 Q3,WE,94.4535,84.7068,89.6809
2011 Q4,WE,94.6093,84.8711,89.707
2012 Q1,WE,94.9293,85.6063,90.179
2012 Q2,WE,94.2328,85.5207,90.7546
2012 Q3,WE,95.0698,86.5,90.9858
2012 Q4,WE,94.393,86.3136,91.4407
2013 Q1,WE,95.0546,86.6604,91.169
2013 Q2,WE,95.0997,87.097,91.5849
2013 Q3,WE,95.2857,87.8239,92.169
2013 Q4,WE,95.293,88.2947,92.6559
2014 Q1,WE,95.362,89.0698,93.4018
2014 Q2,WE,95.6677,90.0371,94.1145
2014 Q3,WE,96.116,90.7647,94.4324
2014 Q4,WE,96.4578,91.3436,94.698
2015 Q1,WE,96.0368,91.5656,95.3443
2015 Q2,WE,96.7165,92.1232,95.2507
2015 Q3,WE,96.4258,92.3749,95.799
2015 Q4,WE,96.6387,93.0387,96.2748
2016 Q1,WE,97.0006,93.3969,96.2848
2016 Q2,WE,97.1925,94.1478,96.8674
2016 Q3,WE,97.3965,94.7014,97.2328
2016 Q4,WE,98.0196,95.2569,97.1815
2017 Q1,WE,98.5531,95.9137,97.3218
2017 Q2,WE,98.6405,96.4416,97.7708
2017 Q3,WE,99.1078,97.0526,97.9263
2017 Q4,WE,99.398,97.5673,98.1582
2018 Q1,WE,99.0148,97.5625,98.5333
2018 Q2,WE,99.3346,98.0619,98.7188
2018 Q3,WE,99.6219,98.6505,99.0249
2018 Q4,WE,99.5526,98.949,99.3938
2019 Q1,WE,100.0473,99.539,99.4919
2019 Q2,WE,99.576,99.623,100.0472
2019 Q3,WE,100.457,100.4207,99.9639
2019 Q4,WE,99.9207,100.4173,100.4971
2020 Q1,WE,97.2564,98.0119,100.7769
2020 Q2,WE,78.2179,77.4681,99.0415
2020 Q3,WE,91.8679,90.4831,98.4926
2020 Q4,WE,93.6212,91.7558,98.0075
2021 Q1,WE,92.3775,90.6611,98.1419
2021 Q2,WE,97.632,96.2654,98.6003
2021 Q3,WE,98.4075,97.9203,99.5049
2021 Q4,WE,99.9563,99.4098,99.4532
2022 Q1,WE,100.2003,99.961,99.7611
2022 Q2,WE,100.0501,100.2585,100.2083
2022 Q3,WE,100.0322,100.1641,100.1319
2022 Q4,WE,99.986,100.3033,100.3174
2023 Q1,WE,99.4357,100.4371,101.0071
1997 Q1,A: 01 to 03,43.5773,52.7973,121.1578
1997 Q2,A: 01 to 03,44.2855,54.8075,123.7594
1997 Q3,A: 01 to 03,44.994,56.995,126.6726
1997 Q4,A: 01 to 03,48.8096,61.2224,125.4311
1998 Q1,A: 01 to 03,54.8179,67.0756,122.3607
1998 Q2,A: 01 to 03,55.3799,66.5435,120.1583
1998 Q3,A: 01 to 03,55.3931,63.9125,115.3799
1998 Q4,A: 01 to 03,57.6445,64.0307,111.0787
1999 Q1,A: 01 to 03,67.4023,73.6088,109.2081
1999 Q2,A: 01 to 03,65.8927,70.6821,107.2685
1999 Q3,A: 01 to 03,68.8901,73.2244,106.2917
1999 Q4,A: 01 to 03,76.268,79.3437,104.0328
2000 Q1,A: 01 to 03,82.8929,83.4233,100.6397
2000 Q2,A: 01 to 03,80.6523,80.6149,99.9536
2000 Q3,A: 01 to 03,83.1426,80.5262,96.8531
2000 Q4,A: 01 to 03,83.4239,80.4966,96.4912
2001 Q1,A: 01 to 03,86.1446,79.2255,91.968
2001 Q2,A: 01 to 03,88.4985,79.1959,89.4885
2001 Q3,A: 01 to 03,92.1913,83.4233,90.4893
2001 Q4,A: 01 to 03,94.6316,85.2561,90.0926
2002 Q1,A: 01 to 03,110.1725,101.0716,91.7394
2002 Q2,A: 01 to 03,111.733,102.0767,91.3577
2002 Q3,A: 01 to 03,115.6281,101.6333,87.8967
2002 Q4,A: 01 to 03,118.219,99.5048,84.1699
2003 Q1,A: 01 to 03,113.0909,97.7016,86.3921
2003 Q2,A: 01 to 03,114.7195,98.9136,86.2222
2003 Q3,A: 01 to 03,108.918,97.406,89.4306
2003 Q4,A: 01 to 03,102.0185,94.2724,92.4071
2004 Q1,A: 01 to 03,98.4536,87.9462,89.3276
2004 Q2,A: 01 to 03,95.1961,84.251,88.5026
2004 Q3,A: 01 to 03,94.4407,86.1134,91.1824
2004 Q4,A: 01 to 03,95.4605,89.306,93.5528
2005 Q1,A: 01 to 03,112.0155,109.7332,97.9626
2005 Q2,A: 01 to 03,101.5758,98.6476,97.1172
2005 Q3,A: 01 to 03,92.0789,87.4436,94.966
2005 Q4,A: 01 to 03,86.4634,83.0094,96.0053
2006 Q1,A: 01 to 03,91.4033,87.4436,95.6679
2006 Q2,A: 01 to 03,99.8556,93.7107,93.8463
2006 Q3,A: 01 to 03,102.4434,96.933,94.621
2006 Q4,A: 01 to 03,95.3626,91.6119,96.0668
2007 Q1,A: 01 to 03,87.7333,81.8565,93.3015
2007 Q2,A: 01 to 03,84.7674,80.8218,95.3454
2007 Q3,A: 01 to 03,86.0663,81.5313,94.7308
2007 Q4,A: 01 to 03,90.7235,84.5466,93.1915
2008 Q1,A: 01 to 03,105.6803,101.2194,95.7789
2008 Q2,A: 01 to 03,102.4259,102.9636,100.525
2008 Q3,A: 01 to 03,107.0749,103.3479,96.5192
2008 Q4,A: 01 to 03,104.7525,102.2836,97.6431
2009 Q1,A: 01 to 03,102.5459,101.722,99.1966
2009 Q2,A: 01 to 03,101.2244,98.7658,97.5711
2009 Q3,A: 01 to 03,93.5803,93.7699,100.2026
2009 Q4,A: 01 to 03,89.8989,88.3601,98.2882
2010 Q1,A: 01 to 03,81.3174,81.0879,99.7178
2010 Q2,A: 01 to 03,75.8334,78.6638,103.7324
2010 Q3,A: 01 to 03,74.6165,79.4324,106.4542
2010 Q4,A: 01 to 03,74.6259,83.3937,111.749
2011 Q1,A: 01 to 03,98.0373,103.4366,105.5074
2011 Q2,A: 01 to 03,102.9734,104.9738,101.9426
2011 Q3,A: 01 to 03,93.3241,102.1063,109.4104
2011 Q4,A: 01 to 03,93.0185,99.2683,106.7189
2012 Q1,A: 01 to 03,79.1925,88.1827,111.3524
2012 Q2,A: 01 to 03,80.2035,87.2072,108.7324
2012 Q3,A: 01 to 03,82.7631,86.2612,104.2266
2012 Q4,A: 01 to 03,84.064,84.1623,100.117
2013 Q1,A: 01 to 03,83.005,78.9594,95.1261
2013 Q2,A: 01 to 03,82.7958,80.408,97.116
2013 Q3,A: 01 to 03,89.3775,86.1429,96.381
2013 Q4,A: 01 to 03,95.3804,94.8932,99.4892
2014 Q1,A: 01 to 03,109.1715,121.144,110.9667
2014 Q2,A: 01 to 03,107.6618,124.1889,115.351
2014 Q3,A: 01 to 03,110.5093,121.351,109.8106
2014 Q4,A: 01 to 03,103.1281,115.3204,111.8224
2015 Q1,A: 01 to 03,107.9732,108.0482,100.0695
2015 Q2,A: 01 to 03,107.3357,105.6537,98.4329
2015 Q3,A: 01 to 03,101.7903,102.3428,100.5428
2015 Q4,A: 01 to 03,88.793,99.9778,112.5965
2016 Q1,A: 01 to 03,90.6501,91.3754,100.8001
2016 Q2,A: 01 to 03,92.2672,92.41,100.1548
2016 Q3,A: 01 to 03,92.4311,94.0359,101.7362
2016 Q4,A: 01 to 03,93.3535,96.0757,102.916
2017 Q1,A: 01 to 03,93.9874,101.0421,107.5059
2017 Q2,A: 01 to 03,95.9309,100.7464,105.0198
2017 Q3,A: 01 to 03,96.5182,97.5833,101.1035
2017 Q4,A: 01 to 03,86.1604,91.6414,106.3614
2018 Q1,A: 01 to 03,76.9779,81.3835,105.7232
2018 Q2,A: 01 to 03,80.1575,82.832,103.3366
2018 Q3,A: 01 to 03,85.3966,86.0838,100.8047
2018 Q4,A: 01 to 03,90.7168,91.8779,101.28
2019 Q1,A: 01 to 03,96.888,96.7852,99.8939
2019 Q2,A: 01 to 03,98.4794,97.9676,99.4804
2019 Q3,A: 01 to 03,101.0693,101.8107,100.7335
2019 Q4,A: 01 to 03,103.5481,103.4366,99.8922
2020 Q1,A: 01 to 03,104.1317,102.6975,98.6227
2020 Q2,A: 01 to 03,93.8272,91.1093,97.1033
2020 Q3,A: 01 to 03,94.8445,95.8687,101.0799
2020 Q4,A: 01 to 03,96.8733,96.3713,99.4818
2021 Q1,A: 01 to 03,101.636,98.4406,96.856
2021 Q2,A: 01 to 03,106.2107,100.7169,94.8274
2021 Q3,A: 01 to 03,116.0919,104.4417,89.9646
2021 Q4,A: 01 to 03,120.572,104.6781,86.8179
2022 Q1,A: 01 to 03,123.3204,105.3285,85.4104
2022 Q2,A: 01 to 03,121.838,105.9493,86.9592
2022 Q3,A: 01 to 03,125.3683,105.8902,84.4633
2022 Q4,A: 01 to 03,129.3411,105.3581,81.4575
2023 Q1,A: 01 to 03,122.6983,105.3876,85.8916
1997 Q1,B: 05 to 09,351.2049,403.9124,115.0076
1997 Q2,B: 05 to 09,338.0509,380.1075,112.4409
1997 Q3,B: 05 to 09,346.8741,386.8852,111.5348
1997 Q4,B: 05 to 09,348.2602,390.3201,112.0771
1998 Q1,B: 05 to 09,344.0545,397.5754,115.5559
1998 Q2,B: 05 to 09,323.802,387.0138,119.5218
1998 Q3,B: 05 to 09,292.4917,363.2273,124.1838
1998 Q4,B: 05 to 09,279.3313,357.2577,127.8974
1999 Q1,B: 05 to 09,295.8,374.4134,126.5765
1999 Q2,B: 05 to 09,303.6197,380.0891,125.1859
1999 Q3,B: 05 to 09,309.4896,381.7238,123.3398
1999 Q4,B: 05 to 09,289.7288,357.2944,123.3203
2000 Q1,B: 05 to 09,258.4866,317.7665,122.9334
2000 Q2,B: 05 to 09,268.0393,340.0836,126.8783
2000 Q3,B: 05 to 09,285.7,351.8942,123.1691
2000 Q4,B: 05 to 09,294.3066,351.8758,119.561
2001 Q1,B: 05 to 09,265.9181,325.132,122.2677
2001 Q2,B: 05 to 09,262.2373,320.4665,122.2048
2001 Q3,B: 05 to 09,262.7915,316.095,120.2836
2001 Q4,B: 05 to 09,268.3991,313.8541,116.9356
2002 Q1,B: 05 to 09,270.7438,319.5481,118.026
2002 Q2,B: 05 to 09,283.8926,322.3401,113.543
2002 Q3,B: 05 to 09,259.8306,289.296,111.3402
2002 Q4,B: 05 to 09,263.4656,293.4105,111.3658
2003 Q1,B: 05 to 09,268.3689,295.2656,110.0223
2003 Q2,B: 05 to 09,260.7402,282.7203,108.4299
2003 Q3,B: 05 to 09,259.0439,283.253,109.3456
2003 Q4,B: 05 to 09,260.9561,281.1039,107.7208
2004 Q1,B: 05 to 09,261.2441,262.6808,100.5499
2004 Q2,B: 05 to 09,282.837,279.0651,98.6664
2004 Q3,B: 05 to 09,276.6232,274.1608,99.1098
2004 Q4,B: 05 to 09,269.7167,266.4463,98.7875
2005 Q1,B: 05 to 09,235.0074,238.0126,101.2787
2005 Q2,B: 05 to 09,240.0877,249.713,104.0091
2005 Q3,B: 05 to 09,237.4838,243.7801,102.6513
2005 Q4,B: 05 to 09,223.4674,237.2779,106.1801
2006 Q1,B: 05 to 09,203.7875,212.4627,104.257
2006 Q2,B: 05 to 09,201.4216,211.2137,104.8615
2006 Q3,B: 05 to 09,203.1182,215.4934,106.0926
2006 Q4,B: 05 to 09,194.0262,206.8972,106.6337
2007 Q1,B: 05 to 09,195.2436,205.5196,105.2632
2007 Q2,B: 05 to 09,189.5082,201.148,106.1421
2007 Q3,B: 05 to 09,180.2549,188.3455,104.4884
2007 Q4,B: 05 to 09,171.4486,178.739,104.2523
2008 Q1,B: 05 to 09,148.2098,160.0404,107.9823
2008 Q2,B: 05 to 09,160.614,171.5755,106.8248
2008 Q3,B: 05 to 09,172.7222,181.6228,105.1531
2008 Q4,B: 05 to 09,182.1911,184.5066,101.2709
2009 Q1,B: 05 to 09,181.4175,180.3371,99.4044
2009 Q2,B: 05 to 09,172.3203,165.7345,96.1781
2009 Q3,B: 05 to 09,157.3756,150.0482,95.344
2009 Q4,B: 05 to 09,151.0333,143.1786,94.7993
2010 Q1,B: 05 to 09,147.8483,141.8928,95.9719
2010 Q2,B: 05 to 09,152.9517,149.0747,97.4652
