date,industry,ulc,alch,lshare,oph,deflator
1997,WE,0.3591,10.2654,55.2503,28.5865,153.8577
1998,WE,0.3661,10.7132,55.6242,29.263,151.9372
1999,WE,0.384,11.4885,57.8488,29.918,150.6479
2000,WE,0.3953,12.2894,58.8958,31.0888,148.9901
2001,WE,0.4121,12.9478,60.0809,31.4191,145.792
2002,WE,0.4159,13.2976,59.179,31.9731,142.2914
2003,WE,0.4234,13.8982,58.6684,32.8252,138.565
2004,WE,0.4415,14.6699,59.5483,33.2274,134.8772
2005,WE,0.4541,15.3274,59.3118,33.7534,130.614
2006,WE,0.4702,16.1304,59.6952,34.3054,126.957
2007,WE,0.4868,16.9688,60.4408,34.8578,124.1594
2008,WE,0.4939,17.1354,59.1753,34.6941,119.8123
2009,WE,0.513,17.5046,60.0208,34.122,116.9996
2010,WE,0.5138,17.8882,60.2121,34.8155,117.1898
2011,WE,0.5177,18.1738,59.8981,35.1049,115.7004
2012,WE,0.518,18.1245,59.1942,34.9894,114.2745
2013,WE,0.5297,18.5149,59.3038,34.9536,111.9573
2014,WE,0.5257,18.4622,58.1939,35.1193,110.6979
2015,WE,0.5332,18.8399,58.4486,35.3336,109.6185
2016,WE,0.5409,19.288,58.2534,35.6591,107.6972
2017,WE,0.5499,19.8892,58.2205,36.1688,105.8747
2018,WE,0.5647,20.5781,58.7432,36.4408,104.0255
2019,WE,0.5803,21.2173,59.1583,36.5626,101.9443
2020,WE,0.6164,22.5274,59.2971,36.5467,96.1991
2021,WE,0.6243,23.0657,59.9134,36.9465,95.9689
1997,B to E: 05 to 39,0.439,12.0178,56.2507,27.3754,128.1337
1998,B to E: 05 to 39,0.4328,12.2869,57.5523,28.3893,132.9767
1999,B to E: 05 to 39,0.4295,13.3951,59.6016,31.1877,138.7697
2000,B to E: 05 to 39,0.4328,14.2627,58.446,32.9545,135.0416
2001,B to E: 05 to 39,0.4241,15.0009,60.4469,35.3711,142.5298
2002,B to E: 05 to 39,0.4067,15.3914,58.3802,37.8446,143.5461
2003,B to E: 05 to 39,0.3958,16.3484,57.0611,41.3047,144.1665
2004,B to E: 05 to 39,0.397,16.9389,56.4056,42.6673,142.0796
2005,B to E: 05 to 39,0.4111,18.0306,55.3716,43.8594,134.6913
2006,B to E: 05 to 39,0.4062,18.8625,54.2926,46.4365,133.6598
2007,B to E: 05 to 39,0.4281,19.8808,55.5998,46.4396,129.8757
2008,B to E: 05 to 39,0.4444,20.8724,53.8537,46.9676,121.1829
2009,B to E: 05 to 39,0.455,21.3094,55.2486,46.8338,121.4255
2010,B to E: 05 to 39,0.4737,21.7464,53.5201,45.9075,112.9831
2011,B to E: 05 to 39,0.5104,22.1428,54.3285,43.3832,106.443
2012,B to E: 05 to 39,0.5171,22.2269,53.5188,42.9838,103.498
2013,B to E: 05 to 39,0.5374,23.3208,54.1909,43.3956,100.839
2014,B to E: 05 to 39,0.5296,23.4256,54.2428,44.2326,102.4222
2015,B to E: 05 to 39,0.507,23.3141,54.8392,45.9844,108.1641
2016,B to E: 05 to 39,0.5124,23.8711,55.6855,46.5868,108.6758
2017,B to E: 05 to 39,0.5305,24.3635,54.5009,45.9255,102.735
2018,B to E: 05 to 39,0.532,25.0144,54.6828,47.0195,102.7872
2019,B to E: 05 to 39,0.5354,25.9418,54.8449,48.4531,102.4372
2020,B to E: 05 to 39,0.4862,26.9274,54.5167,55.3834,112.1281
2021,B to E: 05 to 39,0.4958,28.0219,56.5616,56.5186,114.0815
1997,G to T: 45 to 98,0.3471,10.2767,54.2271,29.6073,156.229
1998,G to T: 45 to 98,0.3577,10.7654,54.5323,30.0962,152.4526
