date,industry,ulc,alch,lshare,oph,deflator
1997,WE,61.8715,48.382,93.3939,78.1976,150.9482
1998,WE,63.0861,50.4925,94.026,80.0374,149.0439
1999,WE,66.1667,54.1467,97.7864,81.8338,147.7879
2000,WE,68.1185,57.9213,99.5562,85.0302,146.1515
2001,WE,71.0043,61.0247,101.5595,85.9451,143.0329
2002,WE,71.6741,62.6732,100.0349,87.4419,139.5691
2003,WE,72.9633,65.5042,99.1718,89.7769,135.9201
2004,WE,76.0826,69.141,100.6593,90.8762,132.3027
2005,WE,78.2432,72.2398,100.2594,92.3273,128.1382
2006,WE,81.03,76.0246,100.9075,93.8228,124.531
2007,WE,83.8813,79.9762,102.1679,95.3445,121.8006
2008,WE,85.1129,80.7615,100.0287,94.8875,117.5247
2009,WE,88.4024,82.5015,101.4579,93.325,114.7683
2010,WE,88.5358,84.3091,101.7813,95.226,114.9606
2011,WE,89.2066,85.6556,101.2505,96.0194,113.5011
2012,WE,89.2564,85.4229,100.0607,95.7051,112.1048
2013,WE,91.2788,87.2628,100.2459,95.6003,109.8239
2014,WE,90.5944,87.0147,98.3698,96.0487,108.5826
2015,WE,91.8706,88.7947,98.8003,96.6519,107.5429
2016,WE,93.2114,90.9068,98.4703,97.5276,105.6419
2017,WE,94.7598,93.7405,98.4147,98.9243,103.857
2018,WE,97.2983,96.987,99.2983,99.6801,102.0555
2019,WE,100.0,100.0,100.0,100.0,100.0
2020,WE,106.222,106.1742,100.2347,99.955,94.3634
2021,WE,107.5814,108.7116,101.2765,101.0506,94.1394
1997,B to E: 05 to 39,82.0018,46.3261,102.5632,56.494,125.0743
1998,B to E: 05 to 39,80.8394,47.3633,104.9366,58.5894,129.8087
1999,B to E: 05 to 39,80.2159,51.6353,108.6732,64.3704,135.4759
2000,B to E: 05 to 39,80.8472,54.9796,106.5661,68.0043,131.8117
2001,B to E: 05 to 39,79.2176,57.8252,110.2143,72.9954,139.1286
2002,B to E: 05 to 39,75.9677,59.3306,106.446,78.0998,140.1201
